일시,평균상대습도(%),,,
2018-01-01,45,,,
2018-02-01,42,,,
2018-03-01,63,,,
2018-04-01,63,,,
2018-05-01,73,,,
2018-06-01,75,,,
2018-07-01,78,,,
2018-08-01,75,,,
2018-09-01,76,,,
2018-10-01,62,,,
2018-11-01,57,,,
2018-12-01,49,,,
