1990,13.8
1991,12.8
1992,13.1
1993,12.4
1994,13.7
1995,12.5
1996,12.6
1997,13.4
1998,14.2
1999,13.3
2000,13.4
2001,13.4
2002,13.4
2003,13.2
2004,14
2005,13.3
2006,13.6
2007,14
2008,14
2009,13.8
2010,13.1
2011,13
2012,12.7
2013,13.4
2014,13.2
2015,13.4
2016,13.8
2017,13.5
2018,13.4
