"행정구역별(1)",2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018 p),2018 p),2018 p),2018 p),2018 p),2018 p)
"행정구역별(1)",출생아수(명),사망자수(명),자연증가건수(명),자연증가율(천명당),혼인건수(건),이혼건수(건),출생아수(명),사망자수(명),자연증가건수(명),자연증가율(천명당),혼인건수(건),이혼건수(건),출생아수(명),사망자수(명),자연증가건수(명),자연증가율(천명당),혼인건수(건),이혼건수(건),출생아수(명),사망자수(명),자연증가건수(명),자연증가율(천명당),혼인건수(건),이혼건수(건),출생아수(명),사망자수(명),자연증가건수(명),자연증가율(천명당),혼인건수(건),이혼건수(건),출생아수(명),사망자수(명),자연증가건수(명),자연증가율(천명당),혼인건수(건),이혼건수(건),출생아수(명),사망자수(명),자연증가건수(명),자연증가율(천명당),혼인건수(건),이혼건수(건),출생아수(명),사망자수(명),자연증가건수(명),자연증가율(천명당),혼인건수(건),이혼건수(건),출생아수(명),사망자수(명),자연증가건수(명),자연증가율(천명당),혼인건수(건),이혼건수(건)
"전국",470171,255405,214766,4.3,326104,116858,471265,257396,213869,4.3,329087,114284,484550,267221,217329,4.3,327073,114316,436455,266257,170198,3.4,322807,115292,435435,267692,167743,3.3,305507,115510,438420,275895,162525,3.2,302828,109153,406243,280827,125416,2.5,281635,107328,357771,285534,72237,1.4,264455,106032,326900,298900,28000,0.5,257622,108684
"부산광역시",27415,19708,7707,2.2,20195,7645,27759,19643,8116,2.3,20224,7514,28673,20534,8139,2.3,20362,7501,25831,20096,5735,1.6,20734,7444,26190,20230,5960,1.7,18927,7345,26645,20820,5825,1.7,18553,6649,24906,21074,3832,1.1,17113,6859,21480,21434,46,0.0,15677,6651,19100,22600,-3500,-1.0,14781,6678
