지점,일시,평균,최고,최저
90,1980-08-01,20.8,30.6,15.5
90,1980-09-01,19.1,27.6,9.8
90,1980-10-01,13.5,26.2,0.4
90,1980-11-01,10.3,20.3,-0.1
90,1980-12-01,-0.4,13.8,-11.7
90,1981-01-01,-2.9,7,-10.4
90,1981-02-01,-0.1,12.4,-16.2
90,1981-03-01,4.3,18.9,-6.2
90,1981-04-01,11.7,28.4,2
90,1981-05-01,14.7,30.6,6.4
90,1981-06-01,17.2,29.8,6.9
90,1981-07-01,23.8,35.8,14
90,1981-08-01,23.2,33.9,16.9
90,1981-09-01,18.7,27.8,10.1
90,1981-10-01,14.5,25.8,1
90,1981-11-01,5.8,16.1,-5.2
90,1981-12-01,3,11.5,-7.9
90,1982-01-01,-0.9,13.1,-12.3
90,1982-02-01,0.7,13.9,-11.7
90,1982-03-01,6,16.9,-5.2
90,1982-04-01,10.9,22.4,0.5
90,1982-05-01,16.4,29.6,7
90,1982-06-01,19.7,32.6,10
90,1982-07-01,22.9,31.2,15.8
90,1982-08-01,24.2,31.7,17
90,1982-09-01,19.9,29.6,11.6
90,1982-10-01,15.9,28.9,-0.3
90,1982-11-01,9.1,19.1,-4.3
90,1982-12-01,2.6,11.8,-7.3
90,1983-01-01,0.8,13.7,-10.4
90,1983-02-01,-0.5,9.6,-10.7
90,1983-03-01,4.1,13.1,-5.8
90,1983-04-01,12,29.1,0.8
90,1983-05-01,16.4,30.1,4.6
90,1983-06-01,17.4,33.4,11.5
90,1983-07-01,21.3,34.7,14.2
90,1983-08-01,24.4,35.8,16.7
90,1983-09-01,20.7,29.7,12.1
90,1983-10-01,14.7,26.7,3.2
90,1983-11-01,8.3,20.4,-4.1
90,1983-12-01,1.9,13.5,-10.2
90,1984-01-01,-2.9,5.5,-10.5
90,1984-02-01,-1.7,6.5,-12.9
90,1984-03-01,3.2,17.7,-4.9
90,1984-04-01,7.5,19,-0.5
90,1984-05-01,14.3,26.7,6.3
90,1984-06-01,20.1,30,15.3
90,1984-07-01,22.7,32.1,17.6
90,1984-08-01,25.3,35.6,18.9
90,1984-09-01,19.8,26.2,14
90,1984-10-01,14.7,24.5,2.2
90,1984-11-01,10.1,22.8,-2
90,1984-12-01,1.7,13.8,-10
90,1985-01-01,-2.4,7.4,-13.4
90,1985-02-01,1.7,13.2,-8.3
90,1985-03-01,5,13,-4.8
90,1985-04-01,11.2,28.1,2.1
90,1985-05-01,16,26.2,7.4
90,1985-06-01,18.7,27.3,10.2
90,1985-07-01,24.7,34.7,18.2
90,1985-08-01,24.7,33.9,19.8
90,1985-09-01,19.9,29.6,11.7
90,1985-10-01,15.4,26.7,6.4
90,1985-11-01,7.4,18.3,-2.3
90,1985-12-01,0.1,11.6,-11
90,1986-01-01,-2.5,9.7,-14.4
90,1986-02-01,-2,7.4,-11
90,1986-03-01,3.2,16.4,-3
90,1986-04-01,10.3,22.2,1
90,1986-05-01,15.1,29.3,5.7
90,1986-06-01,16.9,32.7,10.3
90,1986-07-01,19.5,32.9,12.6
90,1986-08-01,22.9,32.2,15.1
90,1986-09-01,18.5,26.9,11
90,1986-10-01,12.6,22.8,1.5
90,1986-11-01,7.7,18.8,-3
90,1986-12-01,4.2,13.6,-6.1
90,1987-01-01,0.2,13.4,-8.8
90,1987-02-01,1.6,17.7,-7.9
90,1987-03-01,4.6,14,-5.5
90,1987-04-01,11.3,26.8,0.4
90,1987-05-01,17.1,29.6,5.7
90,1987-06-01,20,33.8,11.7
90,1987-07-01,23.5,31.9,17.1
90,1987-08-01,22.3,31.2,18
90,1987-09-01,18.8,29.4,9.7
90,1987-10-01,15.5,29,4.3
90,1987-11-01,8.1,18.9,-5.9
90,1987-12-01,3.9,17.8,-6.9
90,1988-01-01,1.1,11.8,-10.8
90,1988-02-01,-0.4,11.4,-10.8
90,1988-03-01,4.6,17.2,-5.5
90,1988-04-01,12.7,27.5,3.1
90,1988-05-01,16.9,31.7,7
90,1988-06-01,19.5,29,13.3
90,1988-07-01,21.3,33.2,14.1
90,1988-08-01,24.4,32.9,17.4
90,1988-09-01,20.1,26.3,11.6
90,1988-10-01,15.8,25.6,3.6
90,1988-11-01,7.9,19.2,-4.1
90,1988-12-01,3.5,15.8,-9.5
90,1989-01-01,1.5,8.5,-9.3
90,1989-02-01,2.7,14.4,-7.5
90,1989-03-01,5.9,17.9,-6.1
90,1989-04-01,12.4,24.8,3.2
90,1989-05-01,16.5,31.8,7.9
90,1989-06-01,17.9,29.9,9
90,1989-07-01,21,33.6,13.9
90,1989-08-01,22.7,32.7,16.9
90,1989-09-01,19.4,27.5,11.2
90,1989-10-01,14.4,25,1.1
90,1989-11-01,8,18.2,-5.9
90,1989-12-01,3.5,17.3,-6.1
90,1990-01-01,-1.4,10.7,-13.8
90,1990-02-01,2.6,11.3,-5
90,1990-03-01,6.9,17.9,-0.6
90,1990-04-01,10.5,21.9,2.4
90,1990-05-01,16.1,30,7.5
90,1990-06-01,19.2,32.2,13.7
90,1990-07-01,21.4,33.2,14.9
90,1990-08-01,24.7,32.8,17.8
90,1990-09-01,19.3,28.3,12.7
90,1990-10-01,15.1,24.2,5.6
90,1990-11-01,11.1,21.9,-3.2
90,1990-12-01,3.1,16.1,-9.1
90,1991-01-01,-0.7,8.5,-10.4
90,1991-02-01,0,9.1,-13.6
90,1991-03-01,4.1,18.1,-3.9
90,1991-04-01,10.8,23.2,-2.7
90,1991-05-01,15.5,29.6,5.2
90,1991-06-01,21.1,32.1,12.8
90,1991-07-01,23.3,32.4,17.3
90,1991-08-01,21.8,31.9,13.7
90,1991-09-01,19.9,28.4,10.5
90,1991-10-01,14.5,29,5.4
90,1991-11-01,8.6,19.4,-2.6
90,1991-12-01,4,17.2,-9
90,1992-01-01,1.7,12.3,-8.6
90,1992-02-01,2.1,18.3,-7.7
90,1992-03-01,5.6,18.8,-4.4
90,1992-04-01,12,27.7,0.7
90,1992-05-01,14.8,28.1,5.1
90,1992-06-01,18.9,28.3,10.8
90,1992-07-01,24.7,35.7,16.7
90,1992-08-01,22.3,30.8,16.9
90,1992-09-01,20.3,31.7,11.1
90,1992-10-01,14.1,23.4,6.1
90,1992-11-01,8.4,18.7,-6.4
90,1992-12-01,3.5,14.9,-7.4
90,1993-01-01,0.2,10.6,-10.3
90,1993-02-01,2.5,19.1,-7.9
90,1993-03-01,5.7,15.6,-5.6
90,1993-04-01,11,26.9,1.3
90,1993-05-01,15.2,30.6,6.2
