지점,일시,평균,최고,최저
115,1966-05-01,15.7,24,6
115,1966-06-01,17.5,28.8,11
115,1966-07-01,22.3,31.7,13.5
115,1966-08-01,25.2,32.3,18.5
115,1966-09-01,18.5,28.7,11.4
115,1966-10-01,15.2,23.6,5.4
115,1966-11-01,9.4,19.7,-4.9
115,1966-12-01,2.2,12.1,-6
115,1967-01-01,-0.1,9.6,-10.1
115,1967-02-01,0.6,12.1,-7.9
115,1967-03-01,6.2,15.3,-2.5
115,1967-04-01,9.9,18.5,2.5
115,1967-05-01,16.9,26.3,9.7
115,1967-06-01,18.5,26.6,11.9
115,1967-07-01,22.8,31.2,14.7
115,1967-08-01,26.2,33.3,21.7
115,1967-09-01,19.1,28.1,13.5
115,1967-10-01,15.1,23.8,10.3
115,1967-11-01,9,18.2,1.3
115,1967-12-01,0.5,12.2,-8
115,1968-01-01,0.4,9.4,-8.1
115,1968-02-01,-1.6,9.8,-7.9
115,1968-03-01,5.4,16.8,-2.6
115,1968-04-01,11.2,20.3,4.3
115,1968-05-01,13.7,21,8.6
115,1968-06-01,18.5,28,12
115,1968-07-01,22.8,32.8,15.3
115,1968-08-01,22.5,29.6,16
115,1968-09-01,19.6,27.3,12
115,1968-10-01,13.3,24.3,6.6
115,1968-11-01,10.1,20.9,-3.3
115,1968-12-01,5.6,15.3,-6.9
115,1969-01-01,-0.1,12.2,-8.3
115,1969-02-01,-0.6,14.1,-7.8
115,1969-03-01,2.9,17.9,-4.5
115,1969-04-01,9.8,24.9,-1.1
115,1969-05-01,15.1,25.2,6.7
115,1969-06-01,18.3,27.2,7.8
115,1969-07-01,22.1,32.1,14.8
115,1969-08-01,24.4,31.4,19.5
115,1969-09-01,19.2,27,12.3
115,1969-10-01,14.3,22.3,7.6
115,1969-11-01,8.4,19.9,-2
115,1969-12-01,2.2,13.6,-6.5
115,1970-01-01,-0.3,8,-7.7
115,1970-02-01,2.3,12.1,-8.6
115,1970-03-01,1.6,18.2,-5.7
115,1970-04-01,9,20.6,2
115,1970-05-01,15.2,28.1,8.7
115,1970-06-01,17.1,26.3,11.6
115,1970-07-01,21.7,30.9,14.5
115,1970-08-01,23.5,32.2,18.7
115,1970-09-01,20.6,28.2,11.9
115,1970-10-01,15.3,25,4.1
115,1970-11-01,8.5,18.7,-5.9
115,1970-12-01,3.5,15.4,-4.2
115,1971-01-01,1.1,12.9,-6.5
115,1971-02-01,0.7,7.7,-6
115,1971-03-01,3.5,17.8,-6.4
115,1971-04-01,10.3,22.2,3.1
115,1971-05-01,15.4,27.8,4.9
115,1971-06-01,18.5,26.8,12.4
115,1971-07-01,23.2,31.2,17.2
115,1971-08-01,22,31.9,16.3
115,1971-09-01,19.4,26.1,13.4
115,1971-10-01,14.1,23.5,8
115,1971-11-01,10.4,22.2,-2.4
115,1971-12-01,4.2,12.8,-3.3
115,1972-01-01,3.5,12.6,-3.2
115,1972-02-01,1.4,9.1,-5.4
115,1972-03-01,5.1,15.3,-4.6
115,1972-04-01,10.3,22.3,-2.7
115,1972-05-01,14,24.2,6.3
115,1972-06-01,19,27.6,12.8
115,1972-07-01,22.2,30.4,16.8
115,1972-08-01,23,31.4,17
115,1972-09-01,18.9,26.6,12.8
115,1972-10-01,15.4,24.1,5.3
115,1972-11-01,8.6,18.4,-2.1
115,1972-12-01,4.6,15.4,-3.4
115,1973-01-01,2.8,11.1,-6.6
115,1973-02-01,2.7,14.9,-7.4
115,1973-03-01,4.5,18.5,-1.7
115,1973-04-01,12.1,23,4.1
115,1973-05-01,15,24.2,8
115,1973-06-01,17.6,28,12.2
115,1973-07-01,24.4,32.6,18.4
115,1973-08-01,25.2,33.1,19.4
115,1973-09-01,19.5,28.5,10.7
115,1973-10-01,14.3,24.2,7.4
115,1973-11-01,7.9,18.4,-3.1
115,1973-12-01,1.7,12.4,-7.8
115,1974-01-01,0.1,11.4,-8.4
115,1974-02-01,0.2,11,-8.5
115,1974-03-01,4.2,16.2,-6.4
115,1974-04-01,9.7,17.9,0.3
115,1974-05-01,15.2,25.2,7.2
115,1974-06-01,18.3,28.9,9.4
115,1974-07-01,19.4,26,15
115,1974-08-01,23.2,31.3,16
115,1974-09-01,19.5,27.6,13.6
115,1974-10-01,14.7,22.8,2.8
115,1974-11-01,7.7,19.4,1.2
115,1974-12-01,2.7,11.4,-3.2
115,1975-01-01,0.5,10,-6.8
115,1975-02-01,0.4,8.6,-5
115,1975-03-01,4.7,13.8,-2.6
115,1975-04-01,10.8,19.6,1.1
115,1975-05-01,14.4,24.6,7.7
115,1975-06-01,18.2,27.4,14.2
115,1975-07-01,23.1,30.8,15.9
115,1975-08-01,24.5,31.2,18.4
115,1975-09-01,21.9,30.2,16.2
115,1975-10-01,15,23.4,6
115,1975-11-01,10,16.4,-1.8
115,1975-12-01,3.9,17.2,-2.7
115,1976-01-01,0.8,13.5,-8.4
115,1976-02-01,3,13.4,-3.5
115,1976-03-01,5,16.2,-3.8
115,1976-04-01,10.3,20.6,3.2
115,1976-05-01,15.2,26,7.1
115,1976-06-01,18.1,26.4,13
115,1976-07-01,20.8,29.8,14.5
115,1976-08-01,22.3,29.8,16
115,1976-09-01,18.6,25.8,12.1
115,1976-10-01,14.7,23.9,3.5
115,1976-11-01,7.5,20,-2.9
115,1976-12-01,3.4,14.2,-9.6
115,1977-01-01,-1.7,6.8,-6.8
115,1977-02-01,0,13.2,-9.8
115,1977-03-01,4.9,14.6,-9.3
115,1977-04-01,10.2,21.4,1.6
115,1977-05-01,15.2,27.2,5.6
115,1977-06-01,17.9,24.8,12.1
115,1977-07-01,23.8,33.6,18.5
115,1977-08-01,22.3,32.4,18.1
115,1977-09-01,20.1,28.2,12.1
115,1977-10-01,17.1,24.8,10.2
115,1977-11-01,9.9,20.6,1.3
115,1977-12-01,6.3,14.9,-2.4
115,1978-01-01,1.5,11.9,-7.6
115,1978-02-01,-0.2,9,-9
115,1978-03-01,5.2,16.2,-4.6
115,1978-04-01,11.4,22.4,1.8
115,1978-05-01,16.2,27,8.4
115,1978-06-01,19.2,26.6,13.2
115,1978-07-01,24.7,31.5,18.4
115,1978-08-01,25.1,31.2,17.6
115,1978-09-01,20,27.6,15.8
115,1978-10-01,14.9,26.8,5.4
115,1978-11-01,10.2,20.4,-0.5
115,1978-12-01,6,16.2,-4.3
115,1979-01-01,3.4,14.6,-3.4
115,1979-02-01,3.9,18,-3.3
115,1979-03-01,5.9,15.7,-2.2
115,1979-04-01,9.1,17.9,2.2
115,1979-05-01,15.4,29.4,5.6
115,1979-06-01,19.7,27.2,14
115,1979-07-01,21.6,31.1,15.4
115,1979-08-01,23.3,29.4,17.3
115,1979-09-01,19.4,27,14
115,1979-10-01,16.3,22.1,8.2
115,1979-11-01,9.8,23.2,-2.7
115,1979-12-01,6.3,14.8,-3.2
115,1980-01-01,1,12.2,-9.8
115,1980-02-01,0.1,11.6,-7.8
115,1980-03-01,4.7,16.4,-2.7
115,1980-04-01,8.6,17.2,0.1
115,1980-05-01,15.6,26.5,8.4
115,1980-06-01,19.9,28.8,13.2
115,1980-07-01,20.1,27.4,13.8
115,1980-08-01,19.8,26.5,15.9
115,1980-09-01,18.6,26.2,12.6
115,1980-10-01,13.7,22,2.8
115,1980-11-01,10.6,20,0.6
115,1980-12-01,1.7,14.4,-8
115,1981-01-01,-1.3,5.9,-5.4
115,1981-02-01,0.4,10.8,-13.6
115,1981-03-01,5.2,18.2,-2
115,1981-04-01,11.3,22.8,3
115,1981-05-01,14.9,28,6.4
115,1981-06-01,18.1,27.2,8.2
115,1981-07-01,23.3,30.8,17
115,1981-08-01,22.5,30.6,16.2
115,1981-09-01,18.3,25.3,8.9
115,1981-10-01,14.2,22.3,3.9
115,1981-11-01,6.3,15,-1.7
115,1981-12-01,4,15.1,-4.6
115,1982-01-01,0.7,12.8,-8.5
115,1982-02-01,1.7,11.8,-6.2
115,1982-03-01,6.3,16.3,-1.9
115,1982-04-01,11,22.8,2.1
115,1982-05-01,16.5,25.3,8.6
115,1982-06-01,18.8,30,10.5
115,1982-07-01,22.2,28.5,13.6
115,1982-08-01,23.7,31.4,17.6
115,1982-09-01,19.2,26.5,14.5
115,1982-10-01,16.1,27,1.8
115,1982-11-01,10.7,21.6,0.6
115,1982-12-01,4.3,12.9,-2.4
115,1983-01-01,2.3,13.8,-7.5
115,1983-02-01,1,12.7,-8.2
115,1983-03-01,5.3,17.7,-2.5
115,1983-04-01,12.3,24.6,2.5
115,1983-05-01,15.9,28.6,7.9
115,1983-06-01,17.9,28.3,12.1
115,1983-07-01,22.3,31.2,14.8
115,1983-08-01,24.2,33.7,17
115,1983-09-01,20.8,29.8,14.5
115,1983-10-01,14.8,26,7
115,1983-11-01,9.1,17.9,-2.8
115,1983-12-01,3.1,14.1,-4.8
115,1984-01-01,-0.9,7,-6.6
115,1984-02-01,-1.2,7.4,-9.8
115,1984-03-01,3,15.2,-4
115,1984-04-01,8.9,19.6,0.8
115,1984-05-01,14.5,25,5.2
115,1984-06-01,19.3,26.3,14.2
115,1984-07-01,22.2,29.5,15.9
115,1984-08-01,25.2,32.9,20.2
115,1984-09-01,19.5,26.4,14.8
115,1984-10-01,14.3,23.5,4.5
115,1984-11-01,10.1,23.1,0.3
115,1984-12-01,3.3,15.4,-7.4
115,1985-01-01,-0.8,7.9,-8.9
115,1985-02-01,1.7,10.5,-6.6
115,1985-03-01,4.7,11.9,-1.3
115,1985-04-01,10.3,19.3,3.2
115,1985-05-01,15.5,24.2,7.7
115,1985-06-01,17.7,24.8,10.9
115,1985-07-01,23.8,31.8,17.4
115,1985-08-01,25.8,33,20.8
115,1985-09-01,20.4,30.4,14.6
115,1985-10-01,15.4,24.8,8
115,1985-11-01,8.6,17.2,-1.7
115,1985-12-01,2,11.9,-5.9
115,1986-01-01,-0.9,8.3,-8.2
115,1986-02-01,-0.8,6,-7
115,1986-03-01,4.7,14.9,-4
115,1986-04-01,10.8,20.6,2
115,1986-05-01,14.9,25.6,5.5
115,1986-06-01,17.6,26.3,11
115,1986-07-01,19.8,31,12.6
115,1986-08-01,23.3,31.7,18.3
115,1986-09-01,18.7,28.6,11
115,1986-10-01,12.3,21.6,4.3
115,1986-11-01,8.6,17.8,-0.9
115,1986-12-01,5.4,14.3,-3.8
115,1987-01-01,1.5,9.6,-6.2
115,1987-02-01,2.4,14.9,-6.1
115,1987-03-01,4.2,16.4,-4.3
115,1987-04-01,10.7,21.4,-0.8
115,1987-05-01,15.7,24.7,4.7
115,1987-06-01,19.3,32.2,11.8
115,1987-07-01,22.3,28.1,17.6
115,1987-08-01,22.2,29,17.6
115,1987-09-01,18.5,27.3,9.8
115,1987-10-01,15.8,26.2,7.4
115,1987-11-01,9.9,20.8,-0.3
115,1987-12-01,5.6,16.2,-3.5
115,1988-01-01,2.8,12.4,-6.7
115,1988-02-01,0.2,9.7,-8.7
115,1988-03-01,4.3,15,-5.5
115,1988-04-01,10.9,22.6,2.7
115,1988-05-01,15.6,29,6.7
115,1988-06-01,18.7,28,13
115,1988-07-01,20.6,28.8,16.4
115,1988-08-01,24.2,31.5,18
115,1988-09-01,19.9,27.9,14
115,1988-10-01,15.4,23.2,4.3
115,1988-11-01,8.6,18.7,-1.6
115,1988-12-01,4.5,14.2,-5.2
115,1989-01-01,3.7,11.2,-4.6
115,1989-02-01,3.6,13.6,-3.2
115,1989-03-01,5.6,15.9,-2.8
115,1989-04-01,11.9,21,3.7
115,1989-05-01,15.5,25.9,8.3
115,1989-06-01,17.8,28.3,10.9
115,1989-07-01,21.9,30.8,14.5
115,1989-08-01,23.1,32.8,19.1
115,1989-09-01,19.8,27.4,14.6
115,1989-10-01,15,22.2,4.5
115,1989-11-01,9.2,19.6,-1.2
115,1989-12-01,4.9,16.6,-2.5
115,1990-01-01,0.6,12.7,-8.3
115,1990-02-01,4.1,11.6,-1.7
115,1990-03-01,6.9,17.5,-0.7
115,1990-04-01,10.5,20.5,1.6
115,1990-05-01,15.6,26.1,7.2
115,1990-06-01,20.2,29.4,14.9
115,1990-07-01,23.1,30.7,15.1
115,1990-08-01,25.2,31.5,19.2
115,1990-09-01,20.2,30.9,15
115,1990-10-01,15.7,24.3,7.5
115,1990-11-01,12,22,-1
115,1990-12-01,5.3,16.6,-5.5
115,1991-01-01,1.2,11.6,-6.3
115,1991-02-01,1,9.7,-10.4
115,1991-03-01,4.5,17.6,-3
115,1991-04-01,10.4,20.8,-1.4
115,1991-05-01,15.1,25.6,5.9
115,1991-06-01,20,29.1,13.8
115,1991-07-01,22.3,30,17.6
115,1991-08-01,21.2,28.4,17
115,1991-09-01,20.5,28.7,14.3
115,1991-10-01,15.4,25,8
115,1991-11-01,9.7,19.2,0.4
115,1991-12-01,5.3,17.9,-4.1
115,1992-01-01,3.1,11.1,-3.3
115,1992-02-01,2.9,17.2,-4.2
115,1992-03-01,5.9,15.6,-1.7
115,1992-04-01,11.4,22.7,2
115,1992-05-01,14.3,24.6,8
115,1992-06-01,18,25.6,12.4
115,1992-07-01,23.7,34.6,17.4
115,1992-08-01,22.4,30.6,17.5
115,1992-09-01,20.3,29.4,11.4
115,1992-10-01,15,24.8,8
115,1992-11-01,9.9,19.9,-2.4
115,1992-12-01,5.4,17.4,-5.4
115,1993-01-01,2.5,12.3,-5.7
115,1993-02-01,3.4,14.4,-4.6
115,1993-03-01,5.4,16.2,-4.3
115,1993-04-01,10.5,23.2,1.6
115,1993-05-01,15.2,25.7,6.9
115,1993-06-01,17.8,26.2,11.4
115,1993-07-01,19.6,26.7,13.8
115,1993-08-01,20.1,27.1,16
115,1993-09-01,19.4,28.3,14.3
115,1993-10-01,13.9,23,4.4
115,1993-11-01,9.9,21,-1.2
115,1993-12-01,3.6,12.9,-4.7
115,1994-01-01,0.9,11.5,-6.9
115,1994-02-01,1.8,14.9,-5.5
115,1994-03-01,4,14.4,-2.5
115,1994-04-01,12.2,22.6,1.2
115,1994-05-01,15.9,25.5,8.7
115,1994-06-01,18.4,27.2,12
115,1994-07-01,25.4,32.3,20.1
115,1994-08-01,26.4,34.6,20.2
115,1994-09-01,21,31.7,15
115,1994-10-01,15.1,24.8,6.9
115,1994-11-01,10.5,19.1,2.8
115,1994-12-01,5.2,16.3,-4.4
115,1995-01-01,1.2,11.6,-5.9
115,1995-02-01,2.5,10.7,-2.9
115,1995-03-01,5.7,14.6,-1.5
115,1995-04-01,10.7,21,-0.7
115,1995-05-01,15,22.9,8.2
115,1995-06-01,16.4,25.9,11.1
115,1995-07-01,22.8,30.5,15.4
115,1995-08-01,25.6,33.4,19.3
115,1995-09-01,19.4,27.2,13.4
115,1995-10-01,16.3,24.7,5.8
115,1995-11-01,8.9,21.7,0.8
115,1995-12-01,3.3,11,-5
115,1996-01-01,1.5,11.6,-6.9
115,1996-02-01,1,19.2,-9.5
115,1996-03-01,4.6,13.4,-2.5
115,1996-04-01,10,25.3,-0.7
115,1996-05-01,15.4,26.2,6
115,1996-06-01,18.2,25.7,13.5
115,1996-07-01,22,32.2,13.2
115,1996-08-01,23.8,33.4,16.3
115,1996-09-01,20.4,27.5,13.8
115,1996-10-01,15.5,24.2,4.6
115,1996-11-01,8.9,18.7,-3.2
115,1996-12-01,5.2,15.8,-5.4
115,1997-01-01,1,14.9,-9.4
115,1997-02-01,2.3,12.9,-3.6
115,1997-03-01,6.4,18.8,-1.4
115,1997-04-01,11.4,22.4,4
115,1997-05-01,15.3,24,7.2
115,1997-06-01,20,27.2,12.9
115,1997-07-01,22.4,30.9,16.9
115,1997-08-01,23.6,30.5,18.1
115,1997-09-01,19,32.4,13
115,1997-10-01,14.6,24.7,0.7
115,1997-11-01,11,19.6,1.3
115,1997-12-01,5.1,14.9,-7.6
115,1998-01-01,1.2,11.3,-8.3
115,1998-02-01,3.8,14.7,-3.9
115,1998-03-01,7.5,21.8,-2
115,1998-04-01,12.8,25.1,1.9
115,1998-05-01,17.1,27.1,9.5
115,1998-06-01,17.8,27,10.1
115,1998-07-01,21.9,29.7,17
115,1998-08-01,23.4,30.3,19.2
115,1998-09-01,21.1,28.6,14.9
115,1998-10-01,16.9,22.7,10.4
115,1998-11-01,9.9,21.1,-0.7
115,1998-12-01,6.2,16,-0.2
115,1999-01-01,2.9,13.6,-6.7
115,1999-02-01,2.7,11.2,-7.8
115,1999-03-01,6,15.6,-4
115,1999-04-01,11.1,21.6,1.2
115,1999-05-01,15.6,25.4,7.3
115,1999-06-01,19.3,27.8,14.7
115,1999-07-01,21.4,29.4,15.8
115,1999-08-01,23.2,30.6,17.4
115,1999-09-01,21.2,28.5,14.5
115,1999-10-01,15.3,22.7,6.7
115,1999-11-01,10.2,20.2,0.4
115,1999-12-01,4.7,12.4,-4.3
115,2000-01-01,1.9,12.5,-5.7
115,2000-02-01,0.8,10.3,-6.1
115,2000-03-01,6.6,19,-2.4
115,2000-04-01,11.9,26,3.3
115,2000-05-01,17.2,28.2,7.3
115,2000-06-01,19.5,30.5,9.5
115,2000-07-01,23.9,32.2,17.4
115,2000-08-01,23.5,32.3,18.6
115,2000-09-01,18.7,29.2,13.8
115,2000-10-01,15.1,24.2,7.3
115,2000-11-01,9.2,21.2,1.4
115,2000-12-01,4.7,14.8,-4.8
115,2001-01-01,-0.1,7.7,-8.6
115,2001-02-01,2.2,13.7,-4.6
115,2001-03-01,5.4,18.8,-4.8
115,2001-04-01,12.1,26.1,3.4
115,2001-05-01,16.4,26.3,6.6
115,2001-06-01,19.2,29,13.1
115,2001-07-01,23.5,31.2,16.9
115,2001-08-01,23.9,31.6,18.1
115,2001-09-01,19.6,28.4,12.6
115,2001-10-01,16,23.7,7.8
115,2001-11-01,9.8,19.1,1.2
115,2001-12-01,3.3,12.5,-3.4
115,2002-01-01,2.2,14,-7.8
115,2002-02-01,4.1,12.9,-3.5
115,2002-03-01,7.5,15.8,-1.1
115,2002-04-01,12.1,21.6,4.4
115,2002-05-01,14.9,27.2,7.7
115,2002-06-01,19.1,27.8,11.7
115,2002-07-01,22.2,31.2,15.7
115,2002-08-01,22,31.9,15.8
115,2002-09-01,18.7,28.4,13.4
115,2002-10-01,14.3,23.8,3.6
115,2002-11-01,6.6,16.6,-0.3
115,2002-12-01,3.2,15.4,-5.2
115,2003-01-01,0.4,11.2,-11.5
115,2003-02-01,2.5,11.4,-2.8
115,2003-03-01,5,16.1,-3.6
115,2003-04-01,10.4,23.4,1.3
115,2003-05-01,14.6,23.5,5.8
115,2003-06-01,19.2,27.4,11.8
115,2003-07-01,19.7,26.7,15.4
115,2003-08-01,22.2,30.5,17.1
115,2003-09-01,19.6,26.7,12.9
115,2003-10-01,14.7,22.5,6.6
115,2003-11-01,11.1,23.2,2
115,2003-12-01,5,13.3,-5
115,2004-01-01,1.6,10.5,-11.1
115,2004-02-01,4.3,16.7,-3.9
115,2004-03-01,5.9,17,-3.9
115,2004-04-01,12.1,23.7,3.4
115,2004-05-01,15.8,23.2,7.5
115,2004-06-01,20,27.6,13.8
115,2004-07-01,23.7,32.2,17.5
115,2004-08-01,22.5,31.6,16.2
115,2004-09-01,19.8,28.4,14.6
115,2004-10-01,14.8,24.4,7.4
115,2004-11-01,11.4,19.8,3.8
115,2004-12-01,5.7,15.6,-3.7
115,2005-01-01,1.6,11.8,-6.9
115,2005-02-01,0.3,8.1,-9.1
115,2005-03-01,4.3,16.8,-5.6
115,2005-04-01,11.6,20.2,2
115,2005-05-01,14.2,25.1,6.8
115,2005-06-01,20.4,30.9,12.6
115,2005-07-01,23.1,31.8,17
115,2005-08-01,24.6,32.3,17.8
115,2005-09-01,20.2,30.5,14.8
115,2005-10-01,15.5,25.5,3.6
115,2005-11-01,10.7,22.4,2.6
115,2005-12-01,0.3,12.4,-7.9
115,2006-01-01,1.6,10.2,-4.5
115,2006-02-01,2.4,13.6,-8.3
115,2006-03-01,4.9,14.7,-5.3
115,2006-04-01,8.6,18,1.6
115,2006-05-01,14,25,4.8
115,2006-06-01,18.1,27.4,11.3
115,2006-07-01,20.7,30,16.2
115,2006-08-01,24.8,31.7,18.3
115,2006-09-01,18.8,27.2,14
115,2006-10-01,17.1,27,12
115,2006-11-01,10.1,21.8,1.8
115,2006-12-01,4.9,13.4,-5.3
115,2007-01-01,3.9,12.5,-1.6
115,2007-02-01,5.2,13.4,-2.1
115,2007-03-01,6,16.6,-4.8
115,2007-04-01,10.4,24.1,0.8
115,2007-05-01,15.8,23.9,8.6
115,2007-06-01,19.1,27.1,11.9
115,2007-07-01,20.8,31.7,16.1
115,2007-08-01,25.3,33.7,17.2
115,2007-09-01,20.7,27.7,15.6
115,2007-10-01,16.2,25.2,8
115,2007-11-01,10.8,20.6,1.5
115,2007-12-01,6.7,13.3,-3.5
115,2008-01-01,3,11.6,-2.5
115,2008-02-01,2.6,11.6,-3.5
115,2008-03-01,7.6,15.8,0.3
115,2008-04-01,12.7,23.7,7.3
115,2008-05-01,15.9,26,9.1
115,2008-06-01,17.2,27.7,11.1
115,2008-07-01,23.7,31.5,15.3
115,2008-08-01,22.2,30.6,16.2
115,2008-09-01,20,27.8,12.7
115,2008-10-01,16.9,24.6,9.3
115,2008-11-01,9.9,19.9,-1.2
115,2008-12-01,4.6,15.1,-8.7
115,2009-01-01,1.9,10.1,-7
115,2009-02-01,4.6,14.2,-4.8
115,2009-03-01,5.9,20.8,-1.8
115,2009-04-01,11.7,24.4,1.7
115,2009-05-01,16.4,29,9.6
115,2009-06-01,19.3,31.1,12.7
115,2009-07-01,20.8,27.8,17.1
115,2009-08-01,21.8,29.4,17.3
115,2009-09-01,19.6,25.7,14.9
115,2009-10-01,16,23.7,10.1
115,2009-11-01,8.7,22.1,0.7
115,2009-12-01,3.7,12.2,-5.2
115,2010-01-01,1,12,-7.2
115,2010-02-01,2.1,15.2,-4.9
115,2010-03-01,3.8,14.4,-2.4
115,2010-04-01,8.9,18.3,1.6
115,2010-05-01,15.2,27.5,6.6
115,2010-06-01,20.2,27.3,10.7
115,2010-07-01,23.4,30.4,18.5
115,2010-08-01,25.9,32.7,21.2
115,2010-09-01,21.1,30.8,13.9
115,2010-10-01,15.2,22.9,2.4
115,2010-11-01,9.8,19,1.4
115,2010-12-01,4.2,16.5,-5.9
115,2011-01-01,-1.3,5.4,-8.6
115,2011-02-01,2.9,12.5,-4.4
115,2011-03-01,3.8,15.3,-4
115,2011-04-01,9.6,19.1,2.1
115,2011-05-01,14.1,21.7,7.2
115,2011-06-01,19.8,29.2,11.8
115,2011-07-01,22.5,29.9,16
115,2011-08-01,24.1,31.1,18.5
115,2011-09-01,19.9,27.8,13
115,2011-10-01,15.2,22.9,7
115,2011-11-01,11.5,21.5,0.3
115,2011-12-01,2.5,11.3,-4.2
115,2012-01-01,0.3,6.2,-5.5
115,2012-02-01,-0.2,9.1,-8.1
115,2012-03-01,4.3,13.5,-3.8
115,2012-04-01,11,24.3,-0.2
115,2012-05-01,15.5,25.1,6.9
115,2012-06-01,18.4,25.4,13.3
115,2012-07-01,23.4,31.4,17.9
115,2012-08-01,24.7,30.3,18.5
115,2012-09-01,19.8,26.5,14.6
115,2012-10-01,15.4,22.9,6.4
115,2012-11-01,8.2,17.6,1.6
115,2012-12-01,1.5,10.8,-5.5
115,2013-01-01,0.5,9,-6.5
115,2013-02-01,1.2,12.6,-9.7
115,2013-03-01,6.2,16.3,-1.7
115,2013-04-01,9.1,20,0.5
115,2013-05-01,15.7,26.6,5.3
115,2013-06-01,19.6,27,13.3
115,2013-07-01,24.7,31.8,20.6
115,2013-08-01,26.6,35.4,19.2
115,2013-09-01,20.7,27.2,14.4
115,2013-10-01,16.1,24.1,9
115,2013-11-01,8.9,21,-2.8
115,2013-12-01,3.4,12.7,-3.8
115,2014-01-01,1.9,12.2,-5.6
115,2014-02-01,1.4,14.8,-5.1
115,2014-03-01,6.5,18.5,-1.7
115,2014-04-01,12,22.8,1.1
115,2014-05-01,17.3,29.1,9.3
115,2014-06-01,19.7,31.3,14.4
115,2014-07-01,24,30.7,18.9
115,2014-08-01,22.2,30.8,17.5
115,2014-09-01,20.2,26.7,12.7
115,2014-10-01,15.2,22.7,9.2
115,2014-11-01,10.8,19.4,0.8
115,2014-12-01,2.2,12.6,-6.3
115,2015-01-01,2.3,9.2,-4.6
115,2015-02-01,2.6,11.7,-6.9
115,2015-03-01,6.6,17,-5.1
115,2015-04-01,11.2,24.9,2.6
115,2015-05-01,17.9,28.1,9.9
115,2015-06-01,19.4,26.6,12
115,2015-07-01,22.3,33.7,15.8
115,2015-08-01,24.4,33.3,16.7
115,2015-09-01,19.2,25.5,15
115,2015-10-01,15.4,22.6,6.3
115,2015-11-01,10.4,19.3,1.4
115,2015-12-01,5.4,13.2,-2.8
115,2016-01-01,1.3,11.4,-9.9
115,2016-02-01,2.1,12.4,-4
115,2016-03-01,6.7,17.5,-3.8
115,2016-04-01,12.3,20.9,2.3
115,2016-05-01,17.3,25.5,9.1
115,2016-06-01,20.5,26.8,13.9
115,2016-07-01,23,30.5,17.8
115,2016-08-01,24.5,31.5,16.1
115,2016-09-01,20.3,26.2,14
115,2016-10-01,15.5,24.8,8.2
115,2016-11-01,9.3,20.7,1.5
115,2016-12-01,5.9,15.8,-1.4
115,2017-01-01,2.6,12.4,-7
115,2017-02-01,2.6,10.9,-4.6
115,2017-03-01,6.1,14.5,-1.6
115,2017-04-01,12.7,25.2,3.4
115,2017-05-01,17.6,29.3,10.6
115,2017-06-01,18.9,27.2,11.2
115,2017-07-01,24.6,32.4,19.6
115,2017-08-01,24.3,31.6,19
115,2017-09-01,20.7,27.9,15.2
115,2017-10-01,15.2,24.5,8.3
115,2017-11-01,9.1,19.8,-0.8
115,2017-12-01,2.2,11.9,-4.7
115,2018-01-01,0.4,9.6,-10.7
115,2018-02-01,0.7,10.9,-6.8
115,2018-03-01,6.9,19.7,-2.3
115,2018-04-01,11.9,24.2,1.3
115,2018-05-01,15.6,26.2,5.2
115,2018-06-01,19.8,29.7,12.3
115,2018-07-01,25,33.8,15.5
115,2018-08-01,25.4,34.5,19.2
115,2018-09-01,20.2,26.9,15.4
115,2018-10-01,14.8,22.5,7
115,2018-11-01,10.7,20.2,2.3
115,2018-12-01,4.3,16.7,-4.5
115,2019-01-01,3.4,12.6,-2.9
115,2019-02-01,3.9,12.9,-2.8
115,2019-03-01,8,17.8,1
115,2019-04-01,10.5,21.7,1.5
115,2019-05-01,18.4,30.8,7.1
115,2019-06-01,18.6,28.3,12.9
115,2019-07-01,,26.6,18.5
116,1983-07-01,20.5,27.2,15.2
116,1983-08-01,22.7,32.5,14.8
116,1983-09-01,19,28,8.6
116,1983-10-01,11.4,20.6,-1.7
116,1983-11-01,3.8,15.2,-10
116,1983-12-01,-4,7.7,-16.8
116,1984-01-01,-8.4,1.4,-17.3
116,1984-02-01,-6.2,5.1,-18.7
116,1984-03-01,-0.5,11.5,-9.9
116,1984-04-01,9.4,20.3,-3.3
116,1984-05-01,15.8,24.5,3.7
116,1984-06-01,19.9,30.2,12.1
116,1984-07-01,22.2,30.4,17.2
116,1984-08-01,23.2,32.3,15.7
116,1984-09-01,17.3,25,8.9
116,1984-10-01,11.2,22.2,-2.5
116,1984-11-01,5.6,18.6,-7.8
116,1984-12-01,-3.5,10.2,-15.8
116,1985-01-01,-8.3,0.2,-20.5
116,1985-02-01,-3.2,6.1,-15.2
116,1985-03-01,1.4,15.1,-11.8
116,1985-04-01,9.2,22.4,-2.3
116,1985-05-01,15.6,27.2,5.3
116,1985-06-01,19.2,29.4,10.4
116,1985-07-01,22.2,32.4,16.6
116,1985-08-01,23.5,31.8,17.1
116,1985-09-01,17.6,27.6,7.2
116,1985-10-01,12.4,21.9,2.1
116,1985-11-01,3.2,14.2,-8.5
116,1985-12-01,-5.7,4.9,-17.4
116,1986-01-01,-7.8,4.2,-22.8
116,1986-02-01,-6,2.2,-16.4
