지점,일시,평균기온(°C)
159,Jul-18,26.7
159,Aug-18,27.9
159,Sep-18,21.9
159,Oct-18,16.4
159,Nov-18,12.4
159,Dec-18,5.7
159,Jan-19,4.5
159,Feb-19,6.6
159,Mar-19,10.5
159,Apr-19,13.4
159,May-19,19.3
159,Jun-19,21.1
